name,square,circle,triangle
hackthoon308train00383,0,1,1
hackthoon308train00384,1,0,1
hackthoon308train00385,1,0,1
hackthoon308train00386,1,0,1
hackthoon308train00387,1,1,0
hackthoon308train00388,1,0,1
hackthoon308train00389,1,0,0
hackthoon308train00390,1,0,1
hackthoon308train00391,0,1,1
hackthoon308train00392,0,1,1
hackthoon308train00393,1,1,1
hackthoon308train00394,0,1,1
hackthoon308train00395,1,0,1
hackthoon308train00396,1,1,0
hackthoon308train00397,1,1,1
hackthoon308train00398,0,1,1
hackthoon308train00399,0,1,1
hackthoon308train00400,1,1,0
hackthoon308train00401,0,1,1
hackthoon308train00402,1,0,1
hackthoon308train00403,1,1,1
hackthoon308train00404,1,0,0
hackthoon308train00405,1,0,1
hackthoon308train00406,1,1,0
hackthoon308train00407,1,0,0
hackthoon308train00408,1,0,1
hackthoon308train00409,1,1,0
hackthoon308train00410,1,0,1
hackthoon308train00411,0,1,1
hackthoon308train00412,0,1,1
hackthoon308train00413,1,1,0
hackthoon308train00414,0,1,1
hackthoon308train00415,1,1,1
hackthoon308train00416,1,1,0
hackthoon308train00417,0,1,1
hackthoon308train00418,1,1,1
hackthoon308train00419,0,1,0
hackthoon308train00420,1,1,1
hackthoon308train00421,1,0,1
hackthoon308train00422,0,0,1
hackthoon308train00423,1,1,1
hackthoon308train00424,1,1,0
hackthoon308train00425,0,1,1
hackthoon308train00426,0,1,1
hackthoon308train00427,1,1,0
hackthoon308train00428,0,1,1
hackthoon308train00429,1,1,0
hackthoon308train00430,0,1,1
hackthoon308train00431,1,1,0
hackthoon308train00432,1,1,1
hackthoon308train00433,0,1,1
hackthoon308train00434,1,1,0
hackthoon308train00435,0,1,0
hackthoon308train00436,1,0,1
hackthoon308train00437,1,1,1
hackthoon308train00438,1,1,1
hackthoon308train00439,1,0,1
hackthoon308train00440,0,1,1
hackthoon308train00441,0,1,1
hackthoon308train00442,0,1,1
hackthoon308train00443,1,1,1
hackthoon308train00444,1,1,1
hackthoon308train00445,1,1,0
hackthoon308train00446,0,1,1
hackthoon308train00447,1,0,1
hackthoon308train00448,1,1,0
hackthoon308train00449,1,0,1
hackthoon308train00450,1,1,1
hackthoon308train00451,0,1,1
hackthoon308train00452,0,0,1
hackthoon308train00453,1,0,1
hackthoon308train00454,1,1,0
hackthoon308train00455,1,1,1
hackthoon308train00456,1,1,0
hackthoon308train00457,1,0,0
hackthoon308train00458,1,1,1
hackthoon308train00459,1,0,1
hackthoon308train00460,1,1,1
hackthoon308train00461,1,1,1
hackthoon308train00462,1,0,1
hackthoon308train00463,1,1,1
hackthoon308train00464,0,1,1
hackthoon308train00465,0,1,1
hackthoon308train00466,1,0,1
hackthoon308train00467,1,0,1
hackthoon308train00468,1,1,1
hackthoon308train00469,1,0,1
hackthoon308train00470,1,0,0
hackthoon308train00471,1,1,1
hackthoon308train00472,1,1,1
hackthoon308train00473,1,0,1
hackthoon308train00474,1,1,1
hackthoon308train00475,0,1,1
hackthoon308train00476,1,0,1
hackthoon308train00477,0,1,1
hackthoon308train00478,1,0,0
hackthoon308train00479,0,1,1
hackthoon308train00480,0,1,1
hackthoon308train00481,1,1,1
hackthoon308train00482,1,1,1
hackthoon308train00483,1,1,1
hackthoon308train00484,1,1,1
hackthoon308train00485,1,1,1
hackthoon308train00486,1,0,0
hackthoon308train00487,1,0,1
hackthoon308train00488,0,1,1
hackthoon308train00489,1,1,0
hackthoon308train00490,0,1,1
hackthoon308train00491,1,1,1
hackthoon308train00492,0,1,1
hackthoon308train00493,1,1,0
hackthoon308train00494,1,0,1
hackthoon308train00495,0,0,1
hackthoon308train00496,1,0,1
hackthoon308train00497,1,0,0
hackthoon308train00498,1,1,0
hackthoon308train00499,1,1,1
hackthoon308train00500,1,1,0
hackthoon308train00501,1,1,1
hackthoon308train00502,1,1,0
hackthoon308train00503,1,1,0
hackthoon308train00504,1,1,0
hackthoon308train00505,0,1,1
hackthoon308train00506,1,1,0
hackthoon308train00507,1,0,1
hackthoon308train00508,1,1,0
hackthoon308train00509,1,0,1
hackthoon308train00510,1,0,0
hackthoon308train00511,1,1,0
hackthoon308train00512,1,1,1
hackthoon308train00513,0,1,0
hackthoon308train00514,1,1,0
hackthoon308train00515,0,1,1
hackthoon308train00516,1,1,1
hackthoon308train00517,1,1,0
hackthoon308train00518,0,1,1
hackthoon308train00519,1,1,0
hackthoon308train00520,1,0,0
hackthoon308train00521,1,0,1
hackthoon308train00522,1,0,0
hackthoon308train00523,1,1,1
hackthoon308train00524,1,1,1
hackthoon308train00525,0,1,1
hackthoon308train00526,1,1,1
hackthoon308train00527,1,0,1
hackthoon308train00528,0,1,1
hackthoon308train00529,1,1,1
hackthoon308train00530,1,0,1
hackthoon308train00531,1,1,0
hackthoon308train00532,1,1,0
hackthoon308train00533,0,0,1
hackthoon308train00534,1,1,1
hackthoon308train00535,1,1,0
hackthoon308train00536,0,0,1
hackthoon308train00537,0,1,0
hackthoon308train00538,0,1,1
hackthoon308train00539,1,1,1
hackthoon308train00540,1,1,1
hackthoon308train00541,0,0,1
hackthoon308train00542,0,1,1
hackthoon308train00543,1,1,0
hackthoon308train00544,1,1,0
hackthoon308train00545,1,0,0
hackthoon308train00546,0,0,1
hackthoon308train00547,1,0,1
hackthoon308train00548,0,1,1
hackthoon308train00549,1,0,1
hackthoon308train00550,1,0,1
hackthoon308train00551,1,0,1
hackthoon308train00552,1,1,1
hackthoon308train00553,1,1,1
hackthoon308train00554,1,0,1
hackthoon308train00555,1,1,0
hackthoon308train00556,1,1,1
hackthoon308train00557,1,1,1
hackthoon308train00558,0,0,1
hackthoon308train00559,0,0,1
hackthoon308train00560,1,1,0
hackthoon308train00561,0,1,1
hackthoon308train00562,1,1,1
hackthoon308train00563,0,1,1
hackthoon308train00564,0,1,1
hackthoon308train00565,0,1,1
hackthoon308train00566,1,0,1
hackthoon308train00567,1,1,1
hackthoon308train00568,1,1,0
hackthoon308train00569,1,0,1
hackthoon308train00570,0,0,1
hackthoon308train00571,1,1,0
hackthoon308train00572,1,0,0
hackthoon308train00573,0,1,1
hackthoon308train00574,0,0,1
hackthoon308train00575,1,0,1
hackthoon308train00576,1,1,1
hackthoon308train00577,0,1,1
hackthoon308train00578,0,1,1
hackthoon308train00579,1,1,0
hackthoon308train00580,1,0,1
hackthoon308train00581,1,0,1
hackthoon308train00582,1,1,1
hackthoon308train00583,1,0,1
hackthoon308train00584,1,0,1
hackthoon308train00585,1,1,0
hackthoon308train00586,1,1,1
hackthoon308train00587,0,1,1
hackthoon308train00588,1,1,1
hackthoon308train00589,0,1,1
hackthoon308train00590,1,1,0
hackthoon308train00591,1,0,1
hackthoon308train00592,1,0,1
hackthoon308train00593,0,1,1
hackthoon308train00594,1,0,1
hackthoon308train00595,1,0,1
hackthoon308train00596,1,0,1
hackthoon308train00597,1,1,0
hackthoon308train00598,1,1,1
hackthoon308train00599,1,1,0
hackthoon308train00600,1,1,1
hackthoon308train00601,0,1,1
hackthoon308train00602,1,0,1
hackthoon308train00603,0,1,1
hackthoon308train00604,0,1,0
hackthoon308train00605,0,1,1
hackthoon308train00606,1,1,0
hackthoon308train00607,1,0,1
hackthoon308train00608,1,1,0
hackthoon308train00609,1,0,1
hackthoon308train00610,1,1,0
hackthoon308train00611,0,1,1
hackthoon308train00612,0,1,1
hackthoon308train00613,0,1,1
hackthoon308train00614,1,1,1
hackthoon308train00615,1,1,1
hackthoon308train00616,1,0,0
hackthoon308train00617,1,1,1
hackthoon308train00618,1,0,1
hackthoon308train00619,1,1,1
hackthoon308train00620,1,1,0
hackthoon308train00621,1,0,1
hackthoon308train00622,1,1,1
hackthoon308train00623,0,1,1
hackthoon308train00624,1,1,1
hackthoon308train00625,1,0,1
hackthoon308train00626,0,1,1
hackthoon308train00627,1,0,1
hackthoon308train00628,1,0,1
hackthoon308train00629,0,1,0
hackthoon308train00630,1,1,1
hackthoon308train00631,1,0,1
hackthoon308train00632,1,0,1
hackthoon308train00633,1,0,1
hackthoon308train00634,1,1,0
hackthoon308train00635,1,0,1
hackthoon308train00636,0,1,0
hackthoon308train00637,1,1,0
hackthoon308train00638,0,1,1
hackthoon308train00639,0,1,0
hackthoon308train00640,1,1,1
hackthoon308train00641,0,1,1
hackthoon308train00642,1,1,0
hackthoon308train00643,1,0,1
hackthoon308train00644,0,1,1
hackthoon308train00645,1,0,1
hackthoon308train00646,1,0,1
hackthoon308train00647,0,1,0
hackthoon308train00648,1,1,0
hackthoon308train00649,1,0,1
hackthoon308train00650,1,0,1
hackthoon308train00651,1,1,1
hackthoon308train00652,1,1,1
hackthoon308train00653,1,1,1
hackthoon308train00654,1,1,1
hackthoon308train00655,0,1,1
hackthoon308train00656,1,1,1
hackthoon308train00657,1,1,1
hackthoon308train00658,1,1,0
hackthoon308train00659,0,1,1
hackthoon308train00660,0,0,1
hackthoon308train00661,1,0,1
hackthoon308train00662,1,1,1
hackthoon308train00663,0,1,0
hackthoon308train00664,1,1,1
hackthoon308train00665,1,1,0
hackthoon308train00666,1,0,1
hackthoon308train00667,1,1,0
hackthoon308train00668,1,1,0
hackthoon308train00669,1,0,1
hackthoon308train00670,1,0,1
hackthoon308train00671,0,1,1
hackthoon308train00672,1,0,1
hackthoon308train00673,1,0,1
hackthoon308train00674,0,1,0
hackthoon308train00675,1,0,1
hackthoon308train00676,1,1,0
hackthoon308train00677,0,0,1
hackthoon308train00678,1,1,1
hackthoon308train00679,1,0,0
hackthoon308train00680,1,1,1
hackthoon308train00681,1,1,0
hackthoon308train00682,1,0,1
hackthoon308train00683,0,1,1
hackthoon308train00684,1,0,0
hackthoon308train00685,1,1,1
hackthoon308train00686,1,1,1
hackthoon308train00687,0,1,1
hackthoon308train00688,1,1,1
hackthoon308train00689,0,1,1
hackthoon308train00690,0,1,1
hackthoon308train00691,1,0,1
hackthoon308train00692,1,0,1
hackthoon308train00693,1,1,0
hackthoon308train00694,1,1,0
hackthoon308train00695,0,1,0
hackthoon308train00696,0,1,1
hackthoon308train00697,1,0,0
hackthoon308train00698,1,1,0
hackthoon308train00699,1,1,0
hackthoon308train00700,0,1,1
hackthoon308train00701,0,1,1
hackthoon308train00702,1,1,0
hackthoon308train00703,1,1,1
hackthoon308train00704,1,0,0
hackthoon308train00705,0,1,1
hackthoon308train00706,0,1,1
hackthoon308train00707,1,1,0
hackthoon308train00708,1,1,1
hackthoon308train00709,1,0,1
hackthoon308train00710,0,1,1
hackthoon308train00711,1,1,1
hackthoon308train00712,1,1,1
hackthoon308train00713,1,0,1
hackthoon308train00714,0,1,0
hackthoon308train00715,0,1,1
hackthoon308train00716,1,1,1
hackthoon308train00717,1,0,1
hackthoon308train00718,1,1,1
hackthoon308train00719,1,0,0
hackthoon308train00720,1,1,0
hackthoon308train00721,1,0,1
hackthoon308train00722,1,0,1
hackthoon308train00723,0,1,1
hackthoon308train00724,0,1,1
hackthoon308train00725,1,1,1
hackthoon308train00726,1,0,1
hackthoon308train00727,1,1,1
hackthoon308train00728,1,0,1
hackthoon308train00729,1,0,1
hackthoon308train00730,1,0,1
hackthoon308train00731,1,0,1
hackthoon308train00732,1,1,1
hackthoon308train00733,1,1,0
hackthoon308train00734,1,0,1
hackthoon308train00735,1,0,1
hackthoon308train00736,1,0,1
hackthoon308train00737,0,1,1
hackthoon308train00738,1,1,0
hackthoon308train00739,1,1,1
hackthoon308train00740,0,1,1
hackthoon308train00741,1,0,1
hackthoon308train00742,1,1,0
hackthoon308train00743,0,1,1
hackthoon308train00744,0,1,1
hackthoon308train00745,1,0,1
hackthoon308train00746,0,1,1
hackthoon308train00747,1,1,0
hackthoon308train00748,0,1,1
hackthoon308train00749,0,1,1
hackthoon308train00750,0,1,0
hackthoon308train00751,1,0,1
hackthoon308train00752,1,0,1
hackthoon308train00753,1,0,1
hackthoon308train00754,1,0,0
hackthoon308train00755,1,0,0
hackthoon308train00756,1,0,1
hackthoon308train00757,1,0,1
hackthoon308train00758,1,1,1
hackthoon308train00759,1,0,1
hackthoon308train00760,0,1,1
hackthoon308train00761,1,0,1
hackthoon308train00762,1,1,0
hackthoon308train00763,1,1,0
hackthoon308train00764,1,1,0
hackthoon308train00765,0,1,1
hackthoon308train00766,1,1,0
hackthoon308train00767,1,0,1
hackthoon308train00768,0,1,1
hackthoon308train00769,1,0,1
hackthoon308train00770,1,0,1
hackthoon308train00771,1,1,0
hackthoon308train00772,1,0,1
hackthoon308train00773,1,0,1
hackthoon308train00774,0,1,1
hackthoon308train00775,1,1,1
hackthoon308train00776,1,1,0
hackthoon308train00777,1,0,1
hackthoon308train00778,1,1,1
hackthoon308train00779,1,1,0
hackthoon308train00780,0,1,1
hackthoon308train00781,0,1,1
hackthoon308train00782,0,1,1
hackthoon308train00783,0,1,1
hackthoon308train00784,0,1,1
hackthoon308train00785,1,0,1
hackthoon308train00786,1,1,1
hackthoon308train00787,0,1,1
hackthoon308train00788,1,1,1
hackthoon308train00789,1,1,1
hackthoon308train00790,0,1,0
hackthoon308train00791,1,0,1
hackthoon308train00792,1,0,1
hackthoon308train00793,0,1,1
hackthoon308train00794,1,1,0
hackthoon308train00795,1,0,1
hackthoon308train00796,1,0,1
hackthoon308train00797,1,1,0
hackthoon308train00798,1,1,1
hackthoon308train00799,1,0,1
hackthoon308train00800,0,0,1
hackthoon308train00801,1,0,1
hackthoon308train00802,1,1,0
hackthoon308train00803,1,1,1
hackthoon308train00804,0,1,1
hackthoon308train00805,1,1,0
hackthoon308train00806,0,1,1
hackthoon308train00807,1,0,1
hackthoon308train00808,1,1,1
hackthoon308train00809,0,1,1
hackthoon308train00810,0,1,1
hackthoon308train00811,0,1,1
hackthoon308train00812,1,1,1
hackthoon308train00813,1,1,1
hackthoon308train00814,1,0,1
hackthoon308train00815,1,1,1
hackthoon308train00816,0,0,1
hackthoon308train00817,1,0,1
hackthoon308train00818,1,1,0
hackthoon308train00819,1,0,1
hackthoon308train00820,1,0,1
hackthoon308train00821,0,1,1
hackthoon308train00822,0,1,1
hackthoon308train00823,1,0,1
hackthoon308train00824,1,1,0
hackthoon308train00825,1,1,0
hackthoon308train00826,1,1,1
hackthoon308train00827,1,0,0
hackthoon308train00828,1,0,1
hackthoon308train00829,1,1,1
hackthoon308train00830,0,1,0
hackthoon308train00831,1,0,1
hackthoon308train00832,1,1,1
hackthoon308train00833,1,0,1
hackthoon308train00834,0,1,1
hackthoon308train00835,1,1,0
hackthoon308train00836,1,0,0
hackthoon308train00837,0,1,1
hackthoon308train00838,0,1,1
hackthoon308train00839,1,0,1
hackthoon308train00840,1,1,0
hackthoon308train00841,1,1,1
hackthoon308train00842,1,0,1
hackthoon308train00843,1,1,0
hackthoon308train00844,1,1,0
hackthoon308train00845,1,1,1
hackthoon308train00846,1,1,0
hackthoon308train00847,1,1,0
hackthoon308train00848,1,1,1
hackthoon308train00849,0,1,1
hackthoon308train00850,1,1,1
hackthoon308train00851,0,1,1
hackthoon308train00852,1,1,0
hackthoon308train00853,0,0,1
hackthoon308train00854,1,0,1
hackthoon308train00855,1,1,1
hackthoon308train00856,1,1,0
hackthoon308train00857,0,1,1
hackthoon308train00858,1,0,1
hackthoon308train00859,1,1,1
hackthoon308train00860,1,0,1
hackthoon308train00861,1,1,1
hackthoon308train00862,1,0,1
hackthoon308train00863,1,1,0
hackthoon308train00864,1,0,1
hackthoon308train00865,0,0,1
hackthoon308train00866,0,1,1
hackthoon308train00867,0,1,1
hackthoon308train00868,1,1,1
hackthoon308train00869,1,1,0
hackthoon308train00870,1,1,1
hackthoon308train00871,1,0,1
hackthoon308train00872,1,0,1
